key,0,1,2,3,4,5,6,7,8
#,Image,Icon,,UnlockCondition,,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,uint16,str
0,,"ui/icon/082000/082091.tex",0,"BannerCondition#0",0,0,0,0,"无"
1,"ui/icon/190000/190002.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,1,"灰色"
2,"ui/icon/190000/190003.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,3,"四边形"
3,"ui/icon/190000/190004.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,4,"紫色"
4,"ui/icon/190000/190005.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,5,"渐变色：防护职业"
5,"ui/icon/190000/190006.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,7,"渐变色：进攻职业"
6,"ui/icon/190000/190007.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,6,"渐变色：治疗职业"
7,"ui/icon/190000/190008.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,2,"羊皮纸"
8,"ui/icon/190000/190009.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,9,"以太空间"
9,"ui/icon/190000/190010.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,8,"木制隔板"
10,"ui/icon/190000/190011.tex","ui/icon/082000/082091.tex",1,"BannerCondition#1",0,0,0,10,"虚无界空间"
11,"ui/icon/190000/190301.tex","ui/icon/082000/082091.tex",2,"BannerCondition#124",0,0,0,2150,"骑士（华丽）"
12,"ui/icon/190000/190302.tex","ui/icon/082000/082091.tex",2,"BannerCondition#125",0,0,0,2151,"战士（华丽）"
13,"ui/icon/190000/190303.tex","ui/icon/082000/082091.tex",2,"BannerCondition#126",0,0,0,2152,"暗黑骑士（华丽）"
14,"ui/icon/190000/190304.tex","ui/icon/082000/082091.tex",2,"BannerCondition#127",0,0,0,2153,"绝枪战士（华丽）"
15,"ui/icon/190000/190305.tex","ui/icon/082000/082091.tex",2,"BannerCondition#128",0,0,0,2154,"白魔法师（华丽）"
16,"ui/icon/190000/190306.tex","ui/icon/082000/082091.tex",2,"BannerCondition#129",0,0,0,2155,"学者（华丽）"
